表1
列1	列2	列3	列4	列5	
ACOT13	acyl-CoA thioesterase 13	THEM2	HT012	thioesterase superfamily member 2	
ACOX1	acyl-CoA oxidase 1		PALMCOX	"acyl-Coenzyme A oxidase 1, palmitoyl, ""acyl-CoA oxidase 1, palmitoyl"""	
ACOX2	acyl-CoA oxidase 2		"BRCACOX, BRCOX, THCCox"	"acyl-Coenzyme A oxidase 2, branched chain, ""acyl-CoA oxidase 2, branched chain"""	
ACOX3	"acyl-CoA oxidase 3, pristanoyl"			"acyl-Coenzyme A oxidase 3, pristanoyl"	
ACOXL	acyl-CoA oxidase like		FLJ11042	acyl-Coenzyme A oxidase-like	
ACOXL-AS1	ACOXL antisense RNA 1				
ACP1	acid phosphatase 1		"HAAP, LMW-PTP, LMWPTP"	"acid phosphatase 1, soluble"	
ACP2	"acid phosphatase 2, lysosomal"		LAP		
ACP4	acid phosphatase 4	ACPT		"acid phosphatase, testicular"	
ACP5	"acid phosphatase 5, tartrate resistant"		"TRAP, HPAP"		
ACP6	"acid phosphatase 6, lysophosphatidic"		"LPAP, ACPL1"		
ACP7	"acid phosphatase 7, tartrate resistant (putative)"		"FLJ16165, PAPL1, PAPL"		
ACPP	"acid phosphatase, prostate"		"ACP3, ACP-3, PAP"		
ACR	acrosin				
ACRBP	acrosin binding protein		"SP32, OY-TES-1, CT23"		
ACRV1	acrosomal vesicle protein 1		"SPACA2, SP-10, D11S4365"		
ACSBG1	acyl-CoA synthetase bubblegum family member 1		"BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG"		
ACSBG2	acyl-CoA synthetase bubblegum family member 2		"BGR, PRTD-NY3, DKFZp434K1635"		
ACSF2	acyl-CoA synthetase family member 2		"FLJ20920, ACSMW"		
ACSF3	acyl-CoA synthetase family member 3				
ACSL1	acyl-CoA synthetase long chain family member 1	FACL2	"LACS2, LACS, ACS1, LACS1, FACL1"	"fatty-acid-Coenzyme A ligase, long-chain 2"	
ACSL3	acyl-CoA synthetase long chain family member 3	FACL3	"ACS3, PRO2194"	"fatty-acid-Coenzyme A ligase, long-chain 3"	
ACSL4	acyl-CoA synthetase long chain family member 4	"FACL4, MRX63, MRX68"	"ACS4, LACS4"	"fatty-acid-Coenzyme A ligase, long-chain 4, ""mental retardation, X-linked 63"", ""mental retardation, X-linked 68"""	
ACSL5	acyl-CoA synthetase long chain family member 5	FACL5	"ACS5, ACS2"	"fatty-acid-Coenzyme A ligase, long-chain 5"	
ACSL6	acyl-CoA synthetase long chain family member 6	FACL6	"KIAA0837, ACS2, LACS5, LACS2"	"fatty-acid-Coenzyme A ligase, long-chain 6"	
ACSM1	acyl-CoA synthetase medium chain family member 1	BUCS1	MACS1	butyryl Coenzyme A synthetase 1	
ACSM2A	acyl-CoA synthetase medium chain family member 2A	ACSM2	"A-923A4.1, MGC150530"	acyl-CoA synthetase medium-chain family member 2	
ACSM2B	acyl-CoA synthetase medium chain family member 2B	ACSM2	"HXMA, HYST1046"	acyl-CoA synthetase medium-chain family member 2	
ACSM3	acyl-CoA synthetase medium chain family member 3	SAH	SA	"SA (rat hypertension-associated) homolog, ""SA hypertension-associated homolog (rat)"""	
ACSM4	acyl-CoA synthetase medium chain family member 4				
ACSM5	acyl-CoA synthetase medium chain family member 5		FLJ20581		
ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1				
ACSM6	acyl-CoA synthetase medium chain family member 6	C10orf129	bA310E22.3	chromosome 10 open reading frame 129	
ACSS1	acyl-CoA synthetase short chain family member 1	ACAS2L	"dJ568C11.3, AceCS2L, MGC33843"	acetyl-Coenzyme A synthetase 2 (AMP forming)-like	
ACSS2	acyl-CoA synthetase short chain family member 2	ACAS2	"ACS, ACSA, AceCS, dJ1161H23.1"	acetyl-Coenzyme A synthetase 2 (ADP forming)	
ACSS3	acyl-CoA synthetase short chain family member 3		FLJ21963		
ACTA1	"actin alpha 1, skeletal muscle"	ACTA	NEM3		
ACTA2	"actin alpha 2, smooth muscle"		ACTSA	"actin, alpha 2, smooth muscle, aorta"	
ACTA2-AS1	ACTA2 antisense RNA 1		"uc001kfo.1, ZXF1, UC001kfo"		
ACTB	actin beta				
ACTBL2	actin beta like 2		DKFZp686D0972	"actin, beta-like 2"	
ACTBP1	ACTB pseudogene 1			"actin, beta pseudogene 1"	
ACTBP2	ACTB pseudogene 2			"actin, beta pseudogene 2"	
ACTBP3	ACTB pseudogene 3			"actin, beta pseudogene 3"	
ACTBP4	ACTB pseudogene 4			"actin, beta pseudogene 4"	
ACTBP6	ACTB pseudogene 6			"actin, beta pseudogene 6"	
ACTBP7	ACTB pseudogene 7			"actin, beta pseudogene 7"	
ACTBP8	ACTB pseudogene 8		ACTBP2	"actin, beta pseudogene 8"	
ACTBP9	ACTB pseudogene 9			"actin, beta pseudogene 9"	
ACTBP10	ACTB pseudogene 10			"actin, beta pseudogene 10"	
ACTBP11	ACTB pseudogene 11			"actin, beta pseudogene 11"	
ACTBP12	ACTB pseudogene 12	ACTGP5		"actin, gamma pseudogene 5, ""actin, beta pseudogene 12"""	
ACTBP13	ACTB pseudogene 13			"actin, beta pseudogene 13"	
ACTBP14	ACTB pseudogene 14			"actin, beta pseudogene 14"	
ACTC1	actin alpha cardiac muscle 1	ACTC	CMD1R	"actin, alpha, cardiac muscle"	
ACTG1	actin gamma 1	"ACTG, DFNA20, DFNA26"		"deafness, autosomal dominant 20, ""deafness, autosomal dominant 26"""	
ACTG1P1	actin gamma 1 pseudogene 1	"ACTGP1, ACT1GP1"		"actin, gamma pseudogene 1"	
ACTG1P2	actin gamma 1 pseudogene 2	"ACTL2, ACTGP2"		"actin, gamma pseudogene 2"	
ACTG1P3	actin gamma 1 pseudogene 3	ACTGP3		"actin, gamma pseudogene 3"	
ACTG1P4	actin gamma 1 pseudogene 4	ACTGP4		"actin, gamma pseudogene 4"	
ACTG1P6	actin gamma 1 pseudogene 6	ACTGP6		"actin, gamma pseudogene 6"	
ACTG1P7	actin gamma 1 pseudogene 7	ACTGP7		"actin, gamma pseudogene 7"	
ACTG1P8	actin gamma 1 pseudogene 8	ACTGP8		"actin, gamma pseudogene 8"	
ACTG1P9	actin gamma 1 pseudogene 9	ACTGP9		"actin, gamma pseudogene 9"	
ACTG1P10	actin gamma 1 pseudogene 10	"ACTL1, ACTGP10"		"actin-like 1, ""actin, gamma pseudogene 10"""	
ACTG1P11	actin gamma 1 pseudogene 11				
ACTG1P12	actin gamma 1 pseudogene 12				
ACTG1P13	actin gamma 1 pseudogene 13				
ACTG1P14	actin gamma 1 pseudogene 14				
ACTG1P15	actin gamma 1 pseudogene 15				
ACTG1P16	actin gamma 1 pseudogene 16				
ACTG1P17	actin gamma 1 pseudogene 17				
ACTG1P18	actin gamma 1 pseudogene 18				
ACTG1P19	actin gamma 1 pseudogene 19				
ACTG1P20	actin gamma 1 pseudogene 20				
ACTG1P21	actin gamma 1 pseudogene 21				
ACTG1P22	actin gamma 1 pseudogene 22				
ACTG1P23	actin gamma 1 pseudogene 23				
ACTG1P24	actin gamma 1 pseudogene 24	POTENP		"POTE ankyrin domain family, member N, pseudogene"	
ACTG2	"actin gamma 2, smooth muscle"	"ACTL3, ACTA3"	ACTSG	"actin, gamma 2, smooth muscle, enteric"	
ACTL6A	actin like 6A		"Actl6, BAF53A, Arp4, Baf53a, INO80K"		
ACTL6B	actin like 6B	ACTL6	BAF53B	actin-like 6	
ACTL7A	actin like 7A				
ACTL7B	actin like 7B		Tact1		
ACTL8	actin like 8		CT57		
ACTL9	actin like 9		MGC33407		
ACTL10	actin like 10	C20orf134		chromosome 20 open reading frame 134	
ACTN1	actinin alpha 1				
ACTN1-AS1	ACTN1 antisense RNA 1	C14orf84		"chromosome 14 open reading frame 84, ""ACTN1 antisense RNA 1 (non-protein coding)"""	
ACTN2	actinin alpha 2				
ACTN3	actinin alpha 3 (gene/pseudogene)			"actinin, alpha 3"	
ACTN4	actinin alpha 4	FSGS1		focal segmental glomerulosclerosis 1	
ACTN4P1	actinin alpha 4 pseudogene 1				
ACTN4P2	actinin alpha 4 pseudogene 2				
ACTP1	actin family pseudogene 1				
ACTR1A	actin related protein 1A		"ARP1, Arp1A"	"ARP1 (actin-related protein 1, yeast) homolog A (centractin alpha), ""ARP1 actin-related protein 1 homolog A, centractin alpha"", ""ARP1 actin related protein 1 homolog A"""	
ACTR1B	actin related protein 1B	CTRN2	Arp1B	"ARP1 (actin-related protein 1, yeast) homolog B (centractin beta), ""ARP1 actin-related protein 1 homolog B, centractin beta"", ""ARP1 actin related protein 1 homolog B"""	
ACTR2	actin related protein 2		ARP2	"ARP2 (actin-related protein 2, yeast) homolog, ""ARP2 actin-related protein 2 homolog (yeast)"", ""ARP2 actin related protein 2 homolog"""	
ACTR3	actin related protein 3		ARP3	"ARP3 (actin-related protein 3, yeast) homolog, ""ARP3 actin-related protein 3 homolog (yeast)"", ""ARP3 actin related protein 3 homolog"""	
ACTR3-AS1	ACTR3 antisense RNA 1		AC104653.1		
ACTR3B	actin related protein 3B		"ARP11, ARP3beta"	"ARP3 actin-related protein 3 homolog B (yeast), ""ARP3 actin related protein 3 homolog B"""	
ACTR3BP1	ACTR3B pseudogene 1			ARP3 actin-related protein 3 homolog B (yeast) pseudogene 1	
ACTR3BP2	ACTR3B pseudogene 2		FKSG73	ARP3 actin-related protein 3 homolog B (yeast) pseudogene 2	
ACTR3BP3	ACTR3B pseudogene 3			ARP3 actin-related protein 3 homolog B (yeast) pseudogene 3	
ACTR3BP4	ACTR3B pseudogene 4			ARP3 actin-related protein 3 homolog B (yeast) pseudogene 4	
ACTR3BP5	ACTR3B pseudogene 5			ARP3 actin-related protein 3 homolog B (yeast) pseudogene 5	
ACTR3BP6	ACTR3B pseudogene 6			ARP3 actin-related protein 3 homolog B (yeast) pseudogene 6	
ACTR3C	actin related protein 3C		ARP11	"ARP3 actin-related protein 3 homolog C (yeast), ""ARP3 actin related protein 3 homolog C"""	
ACTR3P1	ACTR3 pseudogene 1			ARP3 actin-related protein 3 homolog (yeast) pseudogene 1	
ACTR3P2	ACTR3 pseudogene 2			ARP3 actin-related protein 3 homolog (yeast) pseudogene 2	
ACTR3P3	ACTR3 pseudogene 3			ARP3 actin-related protein 3 homolog (yeast) pseudogene 3	
ACTR5	actin related protein 5		"FLJ12785, Arp5, INO80M"	"ARP5 (actin-related protein 5, yeast) homolog, ""ARP5 actin-related protein 5 homolog (yeast)"", ""ARP5 actin related protein 5 homolog"""	
ACTR6	actin related protein 6		"ARP6, FLJ13433"	"ARP6 actin-related protein 6 homolog (yeast), ""ARP6 actin related protein 6 homolog"""	
ACTR6P1	ACTR6 pseudogene 1			ARP6 actin-related protein 6 homolog (yeast) pseudogene 1	
ACTR8	actin related protein 8		"INO80N, ARP8"	"ARP8 (actin-related protein 8, yeast) homolog, ""ARP8 actin related protein 8 homolog"""	
ACTR10	actin related protein 10		"HARP11, ACTR11, Arp11, Arp10"	"actin-related protein 10 homolog (S. cerevisiae), ""actin related protein 10 homolog"""	
ACTRT1	actin related protein T1		"AIP1, KIAA0705, ARIP1, Arp-T1"		
ACTRT2	actin related protein T2		"Arp-T2, ARPM2, FLJ25424"		
ACTRT3	actin related protein T3		ARPM1		
ACVR1	activin A receptor type 1	ACVRLK2	"SKR1, ALK2, ACVR1A"	"activin A receptor, type I"	
ACVR1B	activin A receptor type 1B	ACVRLK4	"ALK4, SKR2, ActRIB"	"activin A receptor, type IB"	
ACVR1C	activin A receptor type 1C		"ALK7, ACVRLK7"	"activin A receptor, type IC"	
ACVR2A	activin A receptor type 2A	ACVR2	ACTRII	"activin A receptor, type II, ""activin A receptor, type IIA"""	
ACVR2B	activin A receptor type 2B		ActR-IIB	"activin A receptor, type IIB"	
ACVR2B-AS1	ACVR2B antisense RNA 1			ACVR2B antisense RNA 1 (non-protein coding)	
ACVRL1	activin A receptor like type 1	"ACVRLK1, ORW2"	"HHT2, ALK1, HHT"	"activin A receptor type II-like 1, ""activin A receptor type IL"""	
ACY1	aminoacylase 1				
ACY3	aminoacylase 3		"HCBP1, MGC9740, ACY-3"	aspartoacylase (aminoacylase) 3	
ACYP1	acylphosphatase 1			"acylphosphatase 1, erythrocyte (common) type"	
ACYP2	acylphosphatase 2			"acylphosphatase 2, muscle type"	
AD5	Alzheimer disease 5				
ADA	adenosine deaminase				
ADA2	adenosine deaminase 2	"IDGFL, CECR1"	ADGF	"cat eye syndrome chromosome region, candidate 1"	
ADAD1	adenosine deaminase domain containing 1		Tenr	adenosine deaminase domain containing 1 (testis-specific)	
ADAD1P1	adenosine deaminase domain containing 1 pseudogene 1			adenosine deaminase domain containing 1 (testis-specific) pseudogene 1	
ADAD1P2	adenosine deaminase domain containing 1 pseudogene 2			adenosine deaminase domain containing 1 (testis-specific) pseudogene 2	
ADAD2	adenosine deaminase domain containing 2		"TENRL, FLJ00337"		
ADAL	adenosine deaminase like				
ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)	ADAM1	"FTNAP, PH-30a, Ftna, ADAM1P"	"a disintegrin and metalloproteinase domain 1 (fertilin alpha) pseudogene, ""ADAM metallopeptidase domain 1, pseudogene"", ""ADAM metallopeptidase domain 1A, pseudogene"""	
ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)			"ADAM metallopeptidase domain 1B, pseudogene"	
ADAM2	ADAM metallopeptidase domain 2	FTNB	"PH-30b, PH30, CT15"	fertilin beta	
ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	CYRN1	"ADAM3, tMDCI"	"cyritestin 1, ""a disintegrin and metalloproteinase domain 3a (cyritestin 1)"", ""ADAM metallopeptidase domain 3A, pseudogene"", ""ADAM metallopeptidase domain 3A"""	
ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)	CYRN2		"a disintegrin and metalloproteinase domain 3b (cyritestin 2), ""ADAM metallopeptidase domain 3B (non-functional)"""	
ADAM5	ADAM metallopeptidase domain 5 (pseudogene)	ADAM5P	tMDCII	"a disintegrin and metalloproteinase domain 5, ""ADAM metallopeptidase domain 5, pseudogene"""	
ADAM6	ADAM metallopeptidase domain 6 (pseudogene)	C14orf96	tMDCIV	"chromosome 14 open reading frame 96, ""a disintegrin and metalloproteinase domain 6"", ""ADAM metallopeptidase domain 6"", ""ADAM metallopeptidase domain 6, pseudogene"""	
ADAM7	ADAM metallopeptidase domain 7		"GP-83, EAPI"	a disintegrin and metalloproteinase domain 7	
ADAM8	ADAM metallopeptidase domain 8		"CD156, MS2, CD156a"	a disintegrin and metalloproteinase domain 8	
ADAM9	ADAM metallopeptidase domain 9	CORD9	"MDC9, KIAA0021, MCMP, Mltng"	"a disintegrin and metalloproteinase domain 9 (meltrin gamma), ""cone rod dystrophy 9"""	
ADAM10	ADAM metallopeptidase domain 10		"kuz, MADM, HsT18717, CD156c"	a disintegrin and metalloproteinase domain 10	
ADAM11	ADAM metallopeptidase domain 11	MDC		a disintegrin and metalloproteinase domain 11	
ADAM12	ADAM metallopeptidase domain 12		"MCMPMltna, MLTN"	a disintegrin and metalloproteinase domain 12 (meltrin alpha)	
ADAM15	ADAM metallopeptidase domain 15		MDC15	a disintegrin and metalloproteinase domain 15 (metargidin)	
ADAM17	ADAM metallopeptidase domain 17	TACE	"cSVP, CD156B"	"tumor necrosis factor, alpha, converting enzyme"	
ADAM18	ADAM metallopeptidase domain 18		"tMDCIII, ADAM27"	a disintegrin and metalloproteinase domain 18	
ADAM19	ADAM metallopeptidase domain 19		MLTNB	a disintegrin and metalloproteinase domain 19 (meltrin beta)	
ADAM20	ADAM metallopeptidase domain 20			a disintegrin and metalloproteinase domain 20	
ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	C14orf55		chromosome 14 open reading frame 55	
ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2				
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3				
ADAM21	ADAM metallopeptidase domain 21		ADAM31	a disintegrin and metalloproteinase domain 21	
ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1	ADAM21P		"a disintegrin and metalloproteinase domain 21 pseudogene, ""ADAM metallopeptidase domain 21 pseudogene"""	
ADAM22	ADAM metallopeptidase domain 22		MDC2	a disintegrin and metalloproteinase domain 22	
ADAM23	ADAM metallopeptidase domain 23		MDC3	a disintegrin and metalloproteinase domain 23	
ADAM24P	"ADAM metallopeptidase domain 24, pseudogene"				
ADAM28	ADAM metallopeptidase domain 28		"eMDCII, MDC-Lm, MDC-Ls, ADAM23"	a disintegrin and metalloproteinase domain 28	
ADAM29	ADAM metallopeptidase domain 29		"svph1, CT73"	a disintegrin and metalloproteinase domain 29	
ADAM30	ADAM metallopeptidase domain 30		svph4	a disintegrin and metalloproteinase domain 30	
ADAM32	ADAM metallopeptidase domain 32			a disintegrin and metalloproteinase domain 32	
ADAM33	ADAM metallopeptidase domain 33	C20orf153	"DKFZp434K0521, dJ964F7.1"	"a disintegrin and metalloproteinase domain 33, ""chromosome 20 open reading frame 153"""	
ADAMDEC1	ADAM like decysin 1		M12.219		
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1		"C3-C5, METH1, KIAA1346"	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1"	
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2		"ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI"	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2"	
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3		"KIAA0366, ADAMTS-4"	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 3"	
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4		"KIAA0688, ADAMTS-2, ADMP-1"	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 4"	
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5		"ADMP-2, ADAMTS11"	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)"	
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6		ADAM-TS6	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 6"	
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7		"ADAM-TS7, DKFZp434H204"	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 7"	
ADAMTS7P1	ADAMTS7 pseudogene 1	ADAMTS7P2		ADAMTS7 pseudogene 2	
ADAMTS7P3	ADAMTS7 pseudogene 3				
ADAMTS7P4	ADAMTS7 pseudogene 4				
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8		"METH2, FLJ41712, ADAM-TS8"	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 8"	
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9		KIAA1312	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 9"	
ADAMTS9-AS1	ADAMTS9 antisense RNA 1			ADAMTS9 antisense RNA 1 (non-protein coding)	
ADAMTS9-AS2	ADAMTS9 antisense RNA 2			ADAMTS9 antisense RNA 2 (non-protein coding)	
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10		ADAM-TS10	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 10"	
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12			"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 12"	
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	C9orf8	"VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322"	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 13"	
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14			"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 14"	
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15			"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 15"	
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16		ADAMTS16s	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 16"	
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17		"FLJ32769, FLJ16363"	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 17"	
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	ADAMTS21		"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 18"	
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19			"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 19"	
ADAMTS19-AS1	ADAMTS19 antisense RNA 1		RP11-346A9.1		
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20		GON-1	"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 20"	
ADAMTSL1	ADAMTS like 1	C9orf94	"ADAMTSR1, FLJ35283"	chromosome 9 open reading frame 94	
ADAMTSL2	ADAMTS like 2		KIAA0605		
ADAMTSL3	ADAMTS like 3		"KIAA1233, punctin-2"		
ADAMTSL4	ADAMTS like 4	TSRC1	DKFZP434K1772	thrombospondin repeat containing 1	
ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	C1orf138	FLJ45786	chromosome 1 open reading frame 138	
ADAMTSL5	ADAMTS like 5	THSD6		"thrombospondin, type I, domain containing 6"	
ADAP1	ArfGAP with dual PH domains 1	CENTA1	GCS1L	"centaurin, alpha 1"	
ADAP2	ArfGAP with dual PH domains 2	CENTA2		"centaurin, alpha 2"	
ADAR	adenosine deaminase RNA specific	"IFI4, G1P1"	ADAR1	interferon-induced protein 4	
ADARB1	adenosine deaminase RNA specific B1		"ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d"	"adenosine deaminase, RNA-specific, B1 (homolog of rat RED1)"	
ADARB2	adenosine deaminase RNA specific B2 (inactive)		"RED2, hRED2, ADAR3"	"adenosine deaminase, RNA-specific, B2 (RED2 homolog rat), ""adenosine deaminase, RNA-specific, B2"", ""adenosine deaminase, RNA-specific, B2 (non-functional)"""	
